32.05;KAB. GARUT, JAWA BARAT
11.13;KAB. GAYO LUES, ACEH
51.04;KAB. GIANYAR, BALI
75.01;KAB. GORONTALO, GORONTALO
75.05;KAB. GORONTALO UTARA, GORONTALO
73.06;KAB. GOWA, SULAWESI SELATAN
35.25;KAB. GRESIK, JAWA TIMUR
33.15;KAB. GROBOGAN, JAWA TENGAH
62.10;KAB. GUNUNG MAS, KALIMANTAN TENGAH
34.03;KAB. GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA
82.01;KAB. HALMAHERA BARAT, MALUKU UTARA
82.04;KAB. HALMAHERA SELATAN, MALUKU UTARA
82.02;KAB. HALMAHERA TENGAH, MALUKU UTARA
82.06;KAB. HALMAHERA TIMUR, MALUKU UTARA
82.03;KAB. HALMAHERA UTARA, MALUKU UTARA
63.06;KAB. HULU SUNGAI SELATAN, KALIMANTAN SELATAN
63.07;KAB. HULU SUNGAI TENGAH, KALIMANTAN SELATAN
63.08;KAB. HULU SUNGAI UTARA, KALIMANTAN SELATAN
12.16;KAB. HUMBANG HASUNDUTAN, SUMATERA UTARA
14.04;KAB. INDRAGIRI HILIR, RIAU
14.02;KAB. INDRAGIRI HULU, RIAU
32.12;KAB. INDRAMAYU, JAWA BARAT
94.07;KAB. INTAN JAYA, PAPUA TENGAH
91.03;KAB. JAYAPURA, PAPUA
95.01;KAB. JAYAWIJAYA, PAPUA PEGUNUNGAN
35.09;KAB. JEMBER, JAWA TIMUR
51.01;KAB. JEMBRANA, BALI
73.04;KAB. JENEPONTO, SULAWESI SELATAN
33.20;KAB. JEPARA, JAWA TENGAH
35.17;KAB. JOMBANG, JAWA TIMUR
92.08;KAB. KAIMANA, PAPUA BARAT
14.01;KAB. KAMPAR, RIAU
62.03;KAB. KAPUAS, KALIMANTAN TENGAH
61.06;KAB. KAPUAS HULU, KALIMANTAN BARAT
33.13;KAB. KARANGANYAR, JAWA TENGAH
51.07;KAB. KARANGASEM, BALI
32.15;KAB. KARAWANG, JAWA BARAT
21.02;KAB. KARIMUN, KEPULAUAN RIAU
12.06;KAB. KARO, SUMATERA UTARA
62.06;KAB. KATINGAN, KALIMANTAN TENGAH
17.04;KAB. KAUR, BENGKULU
61.11;KAB. KAYONG UTARA, KALIMANTAN BARAT
33.05;KAB. KEBUMEN, JAWA TENGAH
35.06;KAB. KEDIRI, JAWA TIMUR
91.11;KAB. KEEROM, PAPUA
33.24;KAB. KENDAL, JAWA TENGAH
71.09;KAB. KEP. SIAU TAGULANDANG BIARO, SULAWESI UTARA
17.08;KAB. KEPAHIANG, BENGKULU
21.05;KAB. KEPULAUAN ANAMBAS, KEPULAUAN RIAU
81.07;KAB. KEPULAUAN ARU, MALUKU
13.09;KAB. KEPULAUAN MENTAWAI, SUMATERA BARAT
14.10;KAB. KEPULAUAN MERANTI, RIAU
71.03;KAB. KEPULAUAN SANGIHE, SULAWESI UTARA
73.01;KAB. KEPULAUAN SELAYAR, SULAWESI SELATAN
82.05;KAB. KEPULAUAN SULA, MALUKU UTARA
71.04;KAB. KEPULAUAN TALAUD, SULAWESI UTARA
81.03;KAB. KEPULAUAN TANIMBAR, MALUKU
91.05;KAB. KEPULAUAN YAPEN, PAPUA
15.01;KAB. KERINCI, JAMBI
61.04;KAB. KETAPANG, KALIMANTAN BARAT
33.10;KAB. KLATEN, JAWA TENGAH
51.05;KAB. KLUNGKUNG, BALI
74.01;KAB. KOLAKA, SULAWESI TENGGARA
74.11;KAB. KOLAKA TIMUR, SULAWESI TENGGARA
74.08;KAB. KOLAKA UTARA, SULAWESI TENGGARA
74.02;KAB. KONAWE, SULAWESI TENGGARA
74.12;KAB. KONAWE KEPULAUAN, SULAWESI TENGGARA
74.05;KAB. KONAWE SELATAN, SULAWESI TENGGARA
74.09;KAB. KONAWE UTARA, SULAWESI TENGGARA
63.02;KAB. KOTABARU, KALIMANTAN SELATAN
62.01;KAB. KOTAWARINGIN BARAT, KALIMANTAN TENGAH
62.02;KAB. KOTAWARINGIN TIMUR, KALIMANTAN TENGAH
14.09;KAB. KUANTAN SINGINGI, RIAU
61.12;KAB. KUBU RAYA, KALIMANTAN BARAT
33.19;KAB. KUDUS, JAWA TENGAH
34.01;KAB. KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA
32.08;KAB. KUNINGAN, JAWA BARAT
53.01;KAB. KUPANG, NUSA TENGGARA TIMUR
64.07;KAB. KUTAI BARAT, KALIMANTAN TIMUR
64.02;KAB. KUTAI KARTANEGARA, KALIMANTAN TIMUR
64.08;KAB. KUTAI TIMUR, KALIMANTAN TIMUR
12.10;KAB. LABUHANBATU, SUMATERA UTARA
12.22;KAB. LABUHANBATU SELATAN, SUMATERA UTARA
12.23;KAB. LABUHANBATU UTARA, SUMATERA UTARA
16.04;KAB. LAHAT, SUMATERA SELATAN
62.09;KAB. LAMANDAU, KALIMANTAN TENGAH
35.24;KAB. LAMONGAN, JAWA TIMUR
18.04;KAB. LAMPUNG BARAT, LAMPUNG
18.01;KAB. LAMPUNG SELATAN, LAMPUNG
18.02;KAB. LAMPUNG TENGAH, LAMPUNG
18.07;KAB. LAMPUNG TIMUR, LAMPUNG
18.03;KAB. LAMPUNG UTARA, LAMPUNG
61.08;KAB. LANDAK, KALIMANTAN BARAT
12.05;KAB. LANGKAT, SUMATERA UTARA
95.07;KAB. LANNY JAYA, PAPUA PEGUNUNGAN
36.02;KAB. LEBAK, BANTEN
17.07;KAB. LEBONG, BENGKULU
53.13;KAB. LEMBATA, NUSA TENGGARA TIMUR
13.07;KAB. LIMA PULUH KOTA, SUMATERA BARAT
21.04;KAB. LINGGA, KEPULAUAN RIAU
52.01;KAB. LOMBOK BARAT, NUSA TENGGARA BARAT
52.02;KAB. LOMBOK TENGAH, NUSA TENGGARA BARAT
52.03;KAB. LOMBOK TIMUR, NUSA TENGGARA BARAT
52.08;KAB. LOMBOK UTARA, NUSA TENGGARA BARAT
35.08;KAB. LUMAJANG, JAWA TIMUR
73.17;KAB. LUWU, SULAWESI SELATAN
73.24;KAB. LUWU TIMUR, SULAWESI SELATAN
73.22;KAB. LUWU UTARA, SULAWESI SELATAN
35.19;KAB. MADIUN, JAWA TIMUR
33.08;KAB. MAGELANG, JAWA TENGAH
35.20;KAB. MAGETAN, JAWA TIMUR
64.11;KAB. MAHAKAM ULU, KALIMANTAN TIMUR
