12.09.09;Kec. Air Joman, KAB. ASAHAN, SUMATERA UTARA
16.07.19;Kec. Air Kumbang, KAB. BANYUASIN, SUMATERA SELATAN
17.06.13;Kec. Air Majunto, KAB. MUKO MUKO, BENGKULU
18.06.26;Kec. Air Naningan, KAB. TANGGAMUS, LAMPUNG
17.03.16;Kec. Air Napal, KAB. BENGKULU UTARA, BENGKULU
17.01.08;Kec. Air Nipis, KAB. BENGKULU SELATAN, BENGKULU
17.03.20;Kec. Air Padang, KAB. BENGKULU UTARA, BENGKULU
17.05.06;Kec. Air Periukan, KAB. SELUMA, BENGKULU
12.19.03;Kec. Air Putih, KAB. BATU BARA, SUMATERA UTARA
17.06.07;Kec. Air Rami, KAB. MUKO MUKO, BENGKULU
16.07.14;Kec. Air Salek, KAB. BANYUASIN, SUMATERA SELATAN
16.02.14;Kec. Air Sugihan, KAB. OGAN KOMERING ILIR, SUMATERA SELATAN
61.04.21;Kec. Air Upas, KAB. KETAPANG, KALIMANTAN BARAT
95.04.28;Kec. Airgaram, KAB. TOLIKARA, PAPUA PEGUNUNGAN
19.03.03;Kec. Airgegas, KAB. BANGKA SELATAN, KEPULAUAN BANGKA BELITUNG
71.06.03;Kec. Airmadidi, KAB. MINAHASA UTARA, SULAWESI UTARA
13.01.13;Kec. Airpura, KAB. PESISIR SELATAN, SUMATERA BARAT
91.03.16;Kec. Airu, KAB. JAYAPURA, PAPUA
92.10.06;Kec. Aitinyo, KAB. MAYBRAT, PAPUA BARAT
92.10.05;Kec. Aitinyo Barat, KAB. MAYBRAT, PAPUA BARAT
92.10.23;Kec. Aitinyo Raya, KAB. MAYBRAT, PAPUA BARAT
92.10.22;Kec. Aitinyo Tengah, KAB. MAYBRAT, PAPUA BARAT
92.10.07;Kec. Aitinyo Utara, KAB. MAYBRAT, PAPUA BARAT
73.08.18;Kec. Ajangale, KAB. BONE, SULAWESI SELATAN
33.02.14;Kec. Ajibarang, KAB. BANYUMAS, JAWA TENGAH
12.12.08;Kec. Ajibata, KAB. TOBA, SUMATERA UTARA
35.09.17;Kec. Ajung, KAB. JEMBER, JAWA TIMUR
13.07.13;Kec. Akabiluru, KAB. LIMA PULUH KOTA, SUMATERA BARAT
93.04.04;Kec. Akat, KAB. ASMAT, PAPUA SELATAN
11.09.08;Kec. Alafan, KAB. SIMEULUE, ACEH
53.71.01;Kec. Alak, KOTA KUPANG, NUSA TENGGARA TIMUR
63.04.05;Kec. Alalak, KAB. BARITO KUALA, KALIMANTAN SELATAN
15.71.09;Kec. Alam Barajo, KOTA JAMBI, JAMBI
94.04.18;Kec. Alama, KAB. MIMIKA, PAPUA TENGAH
95.08.15;Kec. Alama, KAB. NDUGA, PAPUA PEGUNUNGAN
16.71.15;Kec. Alang-alang Lebar, KOTA PALEMBANG, SUMATERA SELATAN
52.04.05;Kec. Alas, KAB. SUMBAWA, NUSA TENGGARA BARAT
52.04.17;Kec. Alas Barat, KAB. SUMBAWA, NUSA TENGGARA BARAT
12.24.07;Kec. Alasa, KAB. NIAS UTARA, SUMATERA UTARA
12.24.06;Kec. Alasa Talumuzoi, KAB. NIAS UTARA, SUMATERA UTARA
95.02.11;Kec. Alemsom, KAB. PEGUNUNGAN BINTANG, PAPUA PEGUNUNGAN
